accuracy,loss,val_accuracy,val_loss,Epoch
0.6466512680053711,1.219699501991272,0.8333333134651184,0.5148683190345764,1
0.875,0.34193313121795654,0.78125,0.6216292977333069,2
0.9284064769744873,0.2415662705898285,0.8854166865348816,0.41105976700782776,3
0.96875,0.0720258429646492,0.8645833134651184,0.4361988306045532,4
0.9561200737953186,0.1566011607646942,0.8958333134651184,0.2991292476654053,5
1.0,0.043091390281915665,0.9375,0.35722818970680237,6
0.974595844745636,0.06490370631217957,0.875,0.3586415946483612,7
0.90625,0.294045627117157,0.9270833134651184,0.377149373292923,8
0.974595844745636,0.08964409679174423,0.9166666865348816,0.37293580174446106,9
1.0,0.05621734634041786,0.9166666865348816,0.2922655940055847,10
0.9769052863121033,0.08067094534635544,0.875,0.4617568552494049,11
1.0,0.015574470162391663,0.84375,0.6250295042991638,12
0.9732142686843872,0.07329480350017548,0.8958333134651184,0.4273715317249298,13
0.8823529481887817,0.1337568759918213,0.8125,0.6018062233924866,14
0.9699769020080566,0.08262136578559875,0.9166666865348816,0.20844094455242157,15
0.96875,0.1428329199552536,0.8645833134651184,0.3619218170642853,16
0.974595844745636,0.07055675983428955,0.9166666865348816,0.38535356521606445,17
1.0,0.01722547970712185,0.8854166865348816,0.3301125764846802,18
0.988452672958374,0.04879442974925041,0.90625,0.23939256370067596,19
1.0,0.011893371120095253,0.8958333134651184,0.2571121156215668,20
